                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.82768,                  6.604,                      0,                 1.0584,                 1.2537,                0.71748,                0.72147,                0.79137,                0.56133,                0.20966,                0.10935,                0.06801,                0.01131,                    nan,                 9.5869,                      0,                    nan,                    nan,             0.00036324,             0.00036324,             0.00036324
                     81,                0.77911,                 6.7086,                      0,                 1.0028,                 1.2311,                 0.7317,                0.72168,                 0.7955,                0.57573,                0.22186,                0.13025,                0.07689,                0.01123,                    nan,                 9.5723,                      0,                    nan,                    nan,             0.00034674,             0.00034674,             0.00034674
                     82,                0.78563,                 6.6761,                      0,                 1.0261,                 1.2179,                0.69391,                0.70735,                0.77135,                0.56042,                0.20404,                0.12722,                0.07513,                0.01047,                    nan,                 9.6016,                      0,                    nan,                    nan,             0.00033023,             0.00033023,             0.00033023
                     83,                0.82251,                 6.5611,                      0,                 1.0341,                 1.2476,                0.68276,                 0.7923,                0.79316,                0.59452,                0.21334,                0.09103,                0.05839,                0.00803,                    nan,                 9.6048,                      0,                    nan,                    nan,             0.00031373,             0.00031373,             0.00031373
                     84,                0.78988,                 6.5515,                      0,                 1.0506,                 1.2217,                0.69925,                0.72283,                0.78625,                0.56701,                0.24173,                 0.1455,                 0.0946,                0.01398,                    nan,                 9.5904,                      0,                    nan,                    nan,             0.00029723,             0.00029723,             0.00029723
                     85,                0.77405,                 6.4316,                      0,                 1.0284,                 1.2052,                 0.7178,                0.74111,                0.77783,                0.57217,                0.25133,                0.12866,                0.08288,                0.01241,                    nan,                 9.5972,                      0,                    nan,                    nan,             0.00028072,             0.00028072,             0.00028072
                     86,                 0.7552,                 6.5178,                      0,                 1.0403,                 1.2052,                0.67998,                0.75547,                0.77014,                0.57019,                0.28333,                0.13468,                0.10261,                0.01708,                    nan,                 9.5685,                      0,                    nan,                    nan,             0.00026422,             0.00026422,             0.00026422
                     87,                0.77301,                 6.5217,                      0,                 0.9843,                 1.2304,                0.71202,                0.72245,                0.78001,                0.55292,                0.21807,                0.12013,                0.08028,                0.01163,                    nan,                 9.5988,                      0,                    nan,                    nan,             0.00024772,             0.00024772,             0.00024772
                     88,                0.76029,                 6.5326,                      0,                0.97834,                 1.2076,                0.64077,                0.79034,                0.77298,                0.55224,                0.22704,                0.11975,                0.07732,                0.01294,                    nan,                 9.5997,                      0,                    nan,                    nan,             0.00023121,             0.00023121,             0.00023121
                     89,                 0.7532,                 6.5234,                      0,                0.94994,                 1.2065,                0.70652,                0.76946,                0.78876,                0.56981,                0.24724,                0.13822,                0.09089,                0.01478,                    nan,                  9.591,                      0,                    nan,                    nan,             0.00021471,             0.00021471,             0.00021471
                     90,                0.73773,                 6.5728,                      0,                 1.0173,                 1.1879,                0.69115,                 0.7799,                 0.7909,                0.56751,                0.24539,                0.14139,                0.09527,                0.01462,                    nan,                 9.5725,                      0,                    nan,                    nan,             0.00019821,             0.00019821,             0.00019821
                     91,                0.55528,                 5.6575,                      0,                0.71612,                 1.0909,                0.68786,                0.73509,                0.77803,                 0.5598,                0.23989,                0.12348,                0.07867,                0.01086,                    nan,                 9.5585,                      0,                    nan,                    nan,              0.0001817,              0.0001817,              0.0001817
                     92,                0.52408,                 5.6136,                      0,                0.69261,                 1.0551,                0.66985,                0.74292,                0.76909,                0.55065,                0.22616,                0.11938,                0.07026,                0.01014,                    nan,                 9.5307,                      0,                    nan,                    nan,              0.0001652,              0.0001652,              0.0001652
                     93,                0.52771,                 5.5629,                      0,                0.64325,                 1.0606,                0.66472,                 0.7232,                0.75854,                0.53514,                0.23351,                0.13491,                0.08839,                 0.0127,                    nan,                 9.5441,                      0,                    nan,                    nan,              0.0001487,              0.0001487,              0.0001487
                     94,                0.51957,                    5.5,                      0,                0.66972,                 1.0552,                0.69302,                0.71515,                 0.7536,                0.54141,                0.21058,                0.11975,                0.08179,                  0.013,                    nan,                 9.5423,                      0,                    nan,                    nan,             0.00013219,             0.00013219,             0.00013219
                     95,                0.51364,                  5.476,                      0,                0.62343,                 1.0519,                0.68971,                 0.7242,                0.77707,                0.58374,                0.22522,                0.12348,                0.09184,                0.01476,                    nan,                 9.5494,                      0,                    nan,                    nan,             0.00011569,             0.00011569,             0.00011569
                     96,                0.50227,                 5.4958,                      0,                0.62259,                 1.0387,                0.64796,                0.72133,                0.75039,                0.55698,                0.20075,                0.11267,                0.07916,                0.01268,                    nan,                 9.5696,                      0,                    nan,                    nan,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.50994,                 5.4284,                      0,                0.64922,                 1.0451,                0.64355,                0.74531,                0.75817,                0.55711,                0.21792,                0.11938,                0.07877,                0.01166,                    nan,                 9.5702,                      0,                    nan,                    nan,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.49286,                 5.4593,                      0,                0.62814,                 1.0304,                 0.6634,                0.73909,                0.76831,                0.56653,                 0.2137,                0.12273,                0.08353,                0.01285,                    nan,                 9.5586,                      0,                    nan,                    nan,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.47822,                 5.4198,                      0,                 0.6272,                 1.0332,                0.73067,                0.68105,                0.78333,                0.58408,                0.22575,                0.11975,                 0.0853,                0.01314,                    nan,                 9.5461,                      0,                    nan,                    nan,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.48404,                 5.3721,                      0,                0.65396,                 1.0197,                0.66779,                0.72042,                0.76424,                0.56719,                0.21814,                0.11975,                 0.0834,                0.01252,                    nan,                 9.5432,                      0,                    nan,                    nan,             3.3173e-05,             3.3173e-05,             3.3173e-05
